number,value,datetime_start,datetime_complete,duration,params_basis_emb_size,params_int_emb_size,params_lr,params_nn_conv_internal_dim,params_num_blocks,params_num_radial,params_num_spherical,params_out_emb_channels,state
0,8.668808150905408,2024-05-22 19:06:07.787380,2024-05-23 02:25:41.952344,0 days 07:19:34.164964,64,32,0.00018588964229145245,64,2,4,6,128,COMPLETE
1,8.883533074279265,2024-05-22 19:09:38.142932,2024-05-23 04:53:04.325186,0 days 09:43:26.182254,64,32,0.00048449775020062175,64,2,7,10,64,COMPLETE
2,26.626618286395814,2024-05-22 19:13:16.679108,2024-05-23 04:42:26.678157,0 days 09:29:09.999049,64,32,1.259800742677914e-06,32,4,6,7,128,COMPLETE
3,9.285250830383708,2024-05-22 19:15:12.054147,2024-05-23 04:17:32.356994,0 days 09:02:20.302847,64,64,0.0011136230737340733,32,4,7,4,32,COMPLETE
5,16.543699744152047,2024-05-22 19:21:55.739645,2024-05-23 06:10:12.184513,0 days 10:48:16.444868,64,64,0.006011991246941768,32,5,8,6,32,COMPLETE
6,19.315719339925106,2024-05-23 02:25:42.063920,2024-05-23 12:48:25.636610,0 days 10:22:43.572690,32,32,3.4194066500239617e-06,64,2,9,10,64,COMPLETE
7,14.172658093515954,2024-05-23 04:17:32.441965,2024-05-23 15:53:26.889294,0 days 11:35:54.447329,32,32,7.506611744131206e-06,64,5,4,8,64,COMPLETE
8,8.979364443867345,2024-05-23 04:42:26.781322,2024-05-23 14:04:45.392253,0 days 09:22:18.610931,32,32,0.0013592385164003234,32,5,9,4,64,COMPLETE
9,13.604330579280804,2024-05-23 04:53:04.400205,2024-05-23 16:01:58.634566,0 days 11:08:54.234361,128,32,9.760704032108753e-06,64,4,8,6,32,COMPLETE
10,8.566613244780445,2024-05-23 06:10:12.520423,2024-05-23 19:47:38.274823,0 days 13:37:25.754400,32,64,0.0005688434630909118,64,4,7,9,32,COMPLETE
11,20.63765213014261,2024-05-23 12:48:25.727683,2024-05-23 23:37:49.589482,0 days 10:49:23.861799,64,64,2.831322571617371e-06,32,4,10,8,128,COMPLETE
12,9.891633323073766,2024-05-23 14:04:45.499944,2024-05-24 01:30:08.999426,0 days 11:25:23.499482,64,32,0.0001558513768307312,32,5,7,10,32,COMPLETE
13,24.597933979686058,2024-05-23 15:53:27.191255,2024-05-24 02:53:53.284917,0 days 11:00:26.093662,128,32,1.5342808584136355e-06,32,5,6,8,128,COMPLETE
14,13.816355753693443,2024-05-23 16:01:58.722825,2024-05-24 03:47:03.656725,0 days 11:45:04.933900,128,32,7.302833930109817e-06,64,5,5,6,128,COMPLETE
15,9.79681268114548,2024-05-23 19:47:38.404751,2024-05-24 13:03:52.350254,0 days 17:16:13.945503,128,64,4.695191314684303e-05,64,6,5,9,32,COMPLETE
16,9.250510573766286,2024-05-23 23:37:49.758768,2024-05-24 09:21:27.220578,0 days 09:43:37.461810,128,64,7.08828662367369e-05,64,3,4,9,128,COMPLETE
17,8.951024994870217,2024-05-24 01:30:09.217837,2024-05-24 11:08:13.541385,0 days 09:38:04.323548,128,64,4.262894085402902e-05,64,3,4,8,128,COMPLETE
18,9.371760621858007,2024-05-24 02:53:53.404161,2024-05-24 12:03:10.298368,0 days 09:09:16.894207,32,64,3.692111277879933e-05,64,3,4,6,128,COMPLETE
19,8.76845219202062,2024-05-24 03:47:03.765778,2024-05-24 13:22:34.765147,0 days 09:35:30.999369,32,64,5.8003267087261724e-05,64,3,4,9,128,COMPLETE
20,9.500622387016518,2024-05-24 11:40:00.680248,2024-05-25 00:03:23.094395,0 days 12:23:22.414147,32,64,0.00021320864183749493,64,6,5,5,32,COMPLETE
21,9.301956090656098,2024-05-24 13:03:52.510538,2024-05-24 20:56:35.286832,0 days 07:52:42.776294,32,64,0.0002394879409072522,64,2,6,5,32,COMPLETE
23,8.93799774930748,2024-05-25 10:15:50.900132,2024-05-25 20:56:47.609301,0 days 10:40:56.709169,32,64,0.0005745361897436627,64,3,5,9,128,COMPLETE
25,10.079902990984406,2024-05-28 12:24:40.914526,2024-05-28 21:00:31.362133,0 days 08:35:50.447607,32,64,0.0030257862257813545,64,2,6,7,128,COMPLETE
26,11.032641053016313,2024-05-28 21:00:31.681388,2024-05-29 07:58:37.743859,0 days 10:58:06.062471,32,64,1.9899683323992923e-05,64,3,5,9,128,COMPLETE
27,8.684939917410485,2024-05-29 07:58:37.853015,2024-05-29 18:12:48.202417,0 days 10:14:10.349402,32,64,0.0001251770881068552,64,3,4,7,128,COMPLETE
