number,value,datetime_start,datetime_complete,duration,params_basis_emb_size,params_int_emb_size,params_lr,params_nn_conv_internal_dim,params_num_blocks,params_num_radial,params_num_spherical,params_out_emb_channels,state
0,104544.85009648796,2024-05-24 16:02:43.124098,2024-05-24 19:06:26.598743,0 days 03:03:43.474645,64,32,0.00037057966793379855,32,5,9,7,32,COMPLETE
1,5.087327441036853e+23,2024-05-24 16:04:48.896998,2024-05-24 20:23:20.495562,0 days 04:18:31.598564,64,64,4.574044529440487e-06,64,5,7,10,32,COMPLETE
2,5.712038978352369e+16,2024-05-24 19:06:26.711478,2024-05-24 22:36:28.542354,0 days 03:30:01.830876,128,64,4.095322792393291e-06,32,4,9,9,64,COMPLETE
3,2.9616085869616544,2024-05-24 20:23:20.646481,2024-05-24 22:41:34.727093,0 days 02:18:14.080612,128,32,0.00807382056700686,32,2,7,9,128,COMPLETE
4,1483347459.2963102,2024-05-24 22:36:29.094013,2024-05-25 01:44:44.743970,0 days 03:08:15.649957,64,32,1.1927282500380907e-06,32,5,10,5,128,COMPLETE
5,2.9349417653436283,2024-05-24 22:41:35.261421,2024-05-25 00:55:24.696823,0 days 02:13:49.435402,128,32,5.508238140320117e-06,64,2,5,6,64,COMPLETE
6,2.2201457305243357,2024-05-25 00:55:25.247527,2024-05-25 03:16:55.361115,0 days 02:21:30.113588,64,32,0.000250137913036578,64,2,5,8,64,COMPLETE
7,2.4234737045082486,2024-05-25 01:44:44.849752,2024-05-25 04:20:52.866090,0 days 02:36:08.016338,128,32,0.0014794536204627256,64,3,8,4,32,COMPLETE
8,26019130.21558998,2024-05-25 03:16:55.469686,2024-05-25 06:32:40.578960,0 days 03:15:45.109274,64,32,3.963473249289573e-06,32,6,8,4,32,COMPLETE
9,4.463442049378122e+20,2024-05-25 04:20:53.254446,2024-05-25 07:42:44.036476,0 days 03:21:50.782030,64,32,9.321851042455758e-06,32,5,7,9,128,COMPLETE
10,2.2278568972539667,2024-05-25 06:32:40.700158,2024-05-25 08:20:57.333221,0 days 01:48:16.633063,128,32,0.0013455887421757243,32,2,4,4,32,COMPLETE
11,2.270250421074172,2024-05-25 07:42:44.144919,2024-05-25 10:25:01.214120,0 days 02:42:17.069201,32,64,5.538124422434956e-05,64,3,4,7,64,COMPLETE
12,2.1712342884240017,2024-05-25 08:20:57.844230,2024-05-25 11:08:12.004438,0 days 02:47:14.160208,32,64,8.080230630922258e-05,64,3,4,7,64,COMPLETE
13,2.213962494884145,2024-05-25 10:25:01.303314,2024-05-25 12:37:16.637535,0 days 02:12:15.334221,32,32,0.0002975550592564397,64,2,5,8,64,COMPLETE
14,2.8220127222445224,2024-05-25 11:08:12.102883,2024-05-25 13:53:59.986115,0 days 02:45:47.883232,32,64,6.729231512882746e-05,64,3,5,8,64,COMPLETE
15,2.5007726046979286,2024-05-25 12:37:16.809819,2024-05-25 15:10:21.098434,0 days 02:33:04.288615,32,64,4.5500745426788466e-05,64,3,5,6,64,COMPLETE
16,40.44115789740351,2024-05-25 13:54:00.373828,2024-05-25 16:30:08.445759,0 days 02:36:08.071931,32,64,2.1587957126431854e-05,64,3,6,6,64,COMPLETE
17,2.317288734888553,2024-05-25 15:10:21.197279,2024-05-25 18:22:08.742116,0 days 03:11:47.544837,32,64,0.0002643153191057731,64,4,6,8,64,COMPLETE
18,2.5247253794586637,2024-05-25 16:30:08.567973,2024-05-25 19:37:10.687503,0 days 03:07:02.119530,32,64,0.00025960753736245615,64,4,4,8,64,COMPLETE
19,2.396015339692734,2024-05-25 18:22:08.845412,2024-05-25 20:37:54.284363,0 days 02:15:45.438951,32,64,0.0009797350647455887,64,2,4,10,64,COMPLETE
20,2.3557509828343406,2024-05-25 19:37:10.799185,2024-05-25 22:05:14.836422,0 days 02:28:04.037237,32,64,0.0010094805171325207,64,2,6,10,64,COMPLETE
21,3.0948420996450388,2024-05-25 20:37:54.651414,2024-05-25 23:13:44.791044,0 days 02:35:50.139630,32,32,0.009010624307897779,64,3,6,7,128,COMPLETE
22,2.2403775820307583,2024-05-25 22:05:14.953173,2024-05-26 00:14:12.290808,0 days 02:08:57.337635,64,32,0.00016201729203962754,64,2,5,8,64,COMPLETE
23,,2024-05-25 23:13:45.110563,,,64,32,0.00014605644422860427,64,2,5,8,64,RUNNING
24,,2024-05-26 00:14:12.411252,,,32,32,0.00011503887767812615,64,2,5,8,64,RUNNING
