number,value,datetime_start,datetime_complete,duration,params_basis_emb_size,params_int_emb_size,params_lr,params_nn_conv_internal_dim,params_num_blocks,params_num_radial,params_num_spherical,params_out_emb_channels,state
0,2.8465007629044963,2024-05-21 16:04:45.139419,2024-05-21 16:53:45.619338,0 days 00:49:00.479919,64,32,0.0009342052830155318,32,3,10,8,128,COMPLETE
3,76286.59128588559,2024-05-21 16:53:45.707053,2024-05-21 17:41:35.783407,0 days 00:47:50.076354,64,64,0.00010357291011695396,32,3,6,8,64,COMPLETE
4,22.505923360538375,2024-05-21 17:41:35.894247,2024-05-21 18:18:54.102487,0 days 00:37:18.208240,64,32,8.291096386699353e-05,32,3,8,4,32,COMPLETE
5,140587.95005727376,2024-05-21 18:18:54.215278,2024-05-21 19:17:21.148784,0 days 00:58:26.933506,32,32,3.0041777060041857e-05,32,6,7,5,64,COMPLETE
6,10.226328482961053,2024-05-21 18:32:48.469719,2024-05-21 19:31:00.353675,0 days 00:58:11.883956,32,32,0.0015690238062655497,64,3,7,10,128,COMPLETE
7,1691552668990946.2,2024-05-21 18:34:58.436341,2024-05-21 20:07:38.833906,0 days 01:32:40.397565,128,64,4.141936078710393e-06,64,6,4,9,32,COMPLETE
9,2.8769152594322738,2024-05-21 19:31:00.631522,2024-05-21 20:05:55.155675,0 days 00:34:54.524153,128,64,4.527898554617752e-05,32,2,5,6,32,COMPLETE
10,4.786544691437571,2024-05-21 20:05:55.443152,2024-05-21 20:57:58.560589,0 days 00:52:03.117437,128,64,1.0025002286571343e-05,32,4,6,7,64,COMPLETE
11,8635.351890034364,2024-05-21 20:07:38.934050,2024-05-21 21:34:21.717650,0 days 01:26:42.783600,128,32,2.6682620551695197e-06,64,6,8,4,128,COMPLETE
12,2.6918304897802123,2024-05-21 20:57:58.649540,2024-05-21 21:37:07.075075,0 days 00:39:08.425535,32,64,0.00014504310983784468,32,3,4,7,32,COMPLETE
13,3.072347184150342e+25,2024-05-21 21:34:21.790285,2024-05-21 22:48:06.983224,0 days 01:13:45.192939,32,64,9.12627501862067e-06,32,6,7,10,32,COMPLETE
14,2.5731200892217925,2024-05-21 21:37:07.356509,2024-05-21 22:42:42.121577,0 days 01:05:34.765068,32,64,0.009631598373173433,64,5,4,6,32,COMPLETE
15,2.6456625187929554,2024-05-21 22:42:42.220319,2024-05-21 23:48:14.596475,0 days 01:05:32.376156,32,64,0.005072387261146475,64,5,4,6,32,COMPLETE
16,2.664498541308706,2024-05-21 22:48:07.078511,2024-05-21 23:54:42.859882,0 days 01:06:35.781371,32,64,0.008266512919544269,64,5,4,6,32,COMPLETE
18,3.0425364560960766,2024-05-21 23:54:42.948741,2024-05-22 01:01:21.334995,0 days 01:06:38.386254,32,64,0.007565571013500184,64,5,5,6,32,COMPLETE
19,2.451018566992411,2024-05-22 01:01:21.637965,2024-05-22 02:06:42.587457,0 days 01:05:20.949492,32,64,0.0016755710457869832,64,5,5,5,32,COMPLETE
20,2.385860202784937,2024-05-22 02:06:42.675077,2024-05-22 03:03:04.150871,0 days 00:56:21.475794,32,64,0.0007823455177077103,64,4,5,5,32,COMPLETE
21,2.3934544024735107,2024-05-22 03:03:04.249701,2024-05-22 03:58:45.090413,0 days 00:55:40.840712,32,64,0.0005486565498703816,64,4,5,5,32,COMPLETE
22,2.6875873648697017,2024-05-22 03:58:45.184408,2024-05-22 04:56:26.944105,0 days 00:57:41.759697,32,64,0.00043026259045023536,64,4,6,5,64,COMPLETE
23,3.108319406411083,2024-05-22 04:56:27.041694,2024-05-22 05:57:33.637487,0 days 01:01:06.595793,64,64,0.0005250452157421649,64,4,10,4,128,COMPLETE
24,2.593131454485252,2024-05-22 05:57:33.732582,2024-05-22 06:34:09.546135,0 days 00:36:35.813553,32,64,0.0003174907275585661,64,2,5,5,32,COMPLETE
25,2.6505283281428977,2024-05-22 06:34:09.637915,2024-05-22 07:29:26.300564,0 days 00:55:16.662649,32,64,0.0023068984145487343,64,4,5,5,32,COMPLETE
26,2.433418516877864,2024-05-22 07:29:26.397624,2024-05-22 08:34:44.801108,0 days 01:05:18.403484,32,64,0.002428971494623137,64,5,6,5,32,COMPLETE
27,2.5879781017325314,2024-05-22 08:34:44.898399,2024-05-22 09:29:26.243767,0 days 00:54:41.345368,32,64,0.00246319566154509,64,4,6,4,32,COMPLETE
28,3.5206417123067006,2024-05-22 09:29:26.551773,2024-05-22 10:25:53.672005,0 days 00:56:27.120232,32,64,0.0002581955870919231,64,4,6,5,32,COMPLETE
29,12.450280663838774,2024-05-22 10:25:53.982169,2024-05-22 11:36:04.188461,0 days 01:10:10.206292,32,64,0.0007275664765836083,64,5,8,7,32,COMPLETE
30,2.526333964239691,2024-05-22 11:36:04.281642,2024-05-22 12:30:48.576265,0 days 00:54:44.294623,32,64,0.0036794405411780316,64,4,5,4,32,COMPLETE
31,2.8332016707832186,2024-05-22 12:30:48.674541,2024-05-22 13:30:58.918355,0 days 01:00:10.243814,32,32,0.000922809709595282,64,5,6,5,32,COMPLETE
32,3360.6188860252005,2024-05-22 13:30:59.011857,2024-05-22 14:46:00.541974,0 days 01:15:01.530117,128,64,1.0808728948969762e-06,64,4,9,7,128,COMPLETE
33,61.093370785008595,2024-05-22 14:46:00.847583,2024-05-22 15:35:08.102844,0 days 00:49:07.255261,64,32,0.00018782685501395567,64,3,5,8,64,COMPLETE
