number,value,datetime_start,datetime_complete,duration,params_basis_emb_size,params_int_emb_size,params_lr,params_nn_conv_internal_dim,params_num_blocks,params_num_radial,params_num_spherical,params_out_emb_channels,state
0,15770651.787433552,2024-05-24 15:51:50.646366,2024-05-24 16:59:52.805273,0 days 01:08:02.158907,64,64,0.0005397421832287677,64,6,4,8,32,COMPLETE
1,8.124830415950745,2024-05-24 16:59:52.933379,2024-05-24 17:46:32.644604,0 days 00:46:39.711225,64,32,2.7716969210098974e-06,64,2,10,7,128,COMPLETE
2,4.927478097258018,2024-05-24 17:46:32.759054,2024-05-24 18:31:44.562041,0 days 00:45:11.802987,128,32,0.007808468195312005,32,4,10,4,128,COMPLETE
3,8.696968741050974,2024-05-24 18:31:44.687057,2024-05-24 19:15:53.583840,0 days 00:44:08.896783,128,64,2.7139531700441807e-06,32,2,10,7,128,COMPLETE
4,54.62425063090635,2024-05-24 19:15:53.693721,2024-05-24 20:24:26.912592,0 days 01:08:33.218871,128,32,1.9772552366440988e-05,64,6,5,5,64,COMPLETE
5,1.1533492750155538e+18,2024-05-24 20:24:27.085753,2024-05-24 21:35:55.736184,0 days 01:11:28.650431,64,32,1.0917755965717043e-06,64,5,7,9,64,COMPLETE
6,2.4454344864153783,2024-05-24 21:35:55.884038,2024-05-24 22:18:42.341424,0 days 00:42:46.457386,32,32,0.00032273699047129765,32,4,4,7,128,COMPLETE
7,4.87238979274055,2024-05-24 22:18:42.466465,2024-05-24 23:20:40.308072,0 days 01:01:57.841607,64,64,1.8590709607176557e-05,64,5,4,7,32,COMPLETE
8,8301769727.640736,2024-05-24 23:20:40.468856,2024-05-25 00:27:12.848389,0 days 01:06:32.379533,32,32,0.00011557695831767648,64,5,5,10,64,COMPLETE
9,1.1817759735719234e+22,2024-05-25 00:27:13.306178,2024-05-25 01:41:30.843142,0 days 01:14:17.536964,64,32,7.57057878511772e-05,64,5,9,10,128,COMPLETE
10,2.4964064625393756,2024-05-25 01:41:30.959758,2024-05-25 02:20:10.196561,0 days 00:38:39.236803,32,64,0.002107203455198257,32,3,7,5,128,COMPLETE
11,2.6329946126861397,2024-05-25 02:20:10.577380,2024-05-25 02:58:46.844684,0 days 00:38:36.267304,32,64,0.0031495152816667614,32,3,7,5,128,COMPLETE
12,2.5766233533791523,2024-05-25 02:58:46.948469,2024-05-25 03:39:30.648098,0 days 00:40:43.699629,32,64,0.0009300257066878725,32,3,8,6,128,COMPLETE
13,2.459014633895332,2024-05-25 03:39:30.753357,2024-05-25 04:16:03.846217,0 days 00:36:33.092860,32,64,0.0007794277484784726,32,3,6,4,128,COMPLETE
14,2.838905444587629,2024-05-25 04:16:04.163118,2024-05-25 04:55:39.438574,0 days 00:39:35.275456,32,32,0.00027217332945688886,32,4,6,4,128,COMPLETE
15,9308.70452306164,2024-05-25 04:55:39.882101,2024-05-25 05:35:09.634564,0 days 00:39:29.752463,32,64,0.00020580728456368326,32,3,5,8,32,COMPLETE
16,2.5202528211805557,2024-05-25 05:35:09.739298,2024-05-25 06:19:32.118942,0 days 00:44:22.379644,32,64,0.0011669238653138148,32,4,6,6,128,COMPLETE
17,3.093830541237113,2024-05-25 06:19:32.234540,2024-05-25 06:51:08.765938,0 days 00:31:36.531398,32,32,3.7069657751090194e-05,32,2,6,6,128,COMPLETE
18,3.0204519929481677,2024-05-25 06:51:08.863596,2024-05-25 07:30:12.181540,0 days 00:39:03.317944,32,64,0.007651280206527886,32,3,4,8,32,COMPLETE
19,216.94300756640177,2024-05-25 07:30:12.269334,2024-05-25 08:19:28.672978,0 days 00:49:16.403644,32,32,0.0005389636645463546,32,4,5,9,64,COMPLETE
20,2.5372651999212485,2024-05-25 08:19:28.776789,2024-05-25 09:04:20.664556,0 days 00:44:51.887767,128,64,0.0003000707016407452,32,4,8,4,128,COMPLETE
21,2.7805400066222794,2024-05-25 09:04:20.785614,2024-05-25 09:43:13.724088,0 days 00:38:52.938474,32,64,0.002318715493311604,32,3,8,5,128,COMPLETE
22,2.5628173548467923,2024-05-25 09:43:14.051065,2024-05-25 10:21:27.413491,0 days 00:38:13.362426,32,64,0.002461228996693894,32,3,7,5,128,COMPLETE
23,2.579880519311999,2024-05-25 10:21:27.536775,2024-05-25 10:52:17.834348,0 days 00:30:50.297573,32,64,0.0011653202184297247,32,2,6,4,128,COMPLETE
24,2.796647918456472,2024-05-25 10:52:17.929044,2024-05-25 11:38:05.087479,0 days 00:45:47.158435,32,64,0.0039159098493425125,32,4,7,6,128,COMPLETE
